AreaCode,Status,Comments
MDG,Yes,"Either volume specific or ad valorem excise applies depending on which is higher, categorized as 'Other'"
MDV,Sale of Product Banned,
MEX,Yes,
MHL,No,
MKD,Yes,
MLI,Yes,
MLT,Yes,
MMR,Yes,"For wine and spirits, specific excise volumetric applies for different price levels. For the highest price tier, an ad valorem excise applies."
MNE,Yes,
MNG,Yes,
MOZ,Yes,"Either volume specific or ad valorem excise applies depending on which is higher, categorized as 'Other'"
MRT,Sale of Product Banned,
MUS,Yes,
MWI,Yes,
MYS,Yes,
NAM,Yes,
NER,Yes,
NIC,Yes,
NLD,Yes,
NOR,Yes,
NRU,No,
NZL,Yes,"1. For beer, the type of specific excise tax applied varies based on the alcohol concentration. However, all beers above 2.5% ABV (most beers) are taxed using a volume-based specific tax, thus the excise tax is categorized as such in this analysis. 2. For wine, the type of specific excise tax applied varies based on the alcohol concentration. Wines above 14% ABV are taxed using a volume-based specific tax, while wines above this threshold are taxed using an alcohol-content-based specific tax. Categorized as 'Other'."
PAN,Yes,
PER,Yes,
PHL,Yes,"Base for ad valorem excise tax component is the result of the multiplication of the all-inclusive retail price by two and by the ABV, thus accounting for alcohol concentration, categorized as 'Other'."
PLW,Yes,
PNG,Yes,
POL,Yes,
PRT,Yes,The excise tax on wine only applies to sparkling wine and not to still wine.
PRY,Yes,
ROU,Yes,
RUS,Yes,
RWA,Yes,
SAU,Sale of Product Banned,
SDN,Sale of Product Banned,
SEN,Yes,No specific excise tax component for beverages with an alcohol content below 6% ABV.
SGP,Yes,
SLE,Yes,
SLV,Yes,
SOM,Sale of Product Banned,
SSD,Yes,
STP,Yes,
SUR,Yes,
SVK,Yes,The excise tax on wine only applies to sparkling wine and not to still wine.
SVN,Yes,
SWE,Yes,
SWZ,Yes,
SYC,Yes,
TCD,Yes,
TGO,Yes,
THA,Yes,
TJK,Yes,
TON,Yes,
TUN,Yes,
TUR,Yes,"For beer, either alcohol-based specific or ad valorem excise applies depending on which is higher, categorized as 'Other'"
TUV,Yes,
TZA,Yes,
UGA,Yes,"Either volume specific or ad valorem excise applies depending on which is higher, categorized as 'Other'"
UKR,Yes,
URY,Yes,"1. The excise tax on alcoholic beverages (not applied on wine) is structured as an ad valorem tax applied on fixed tax base amounts—“precios fictos”—per volume varying per beverage type, effectively operating as a volume-based specific tax and classified as such in this analysis. 2. On automatic adjustment of specific excise, the fixed tax base amounts – “precios fictos” – are usually adjusted annually; however, it is not mandated by law."
UZB,Yes,
VCT,Yes,
VEN,Yes,
VNM,Yes,
VUT,Yes,
WSM,Yes,
YEM,Sale of Product Banned,
ZAF,Yes,
ZMB,Yes,
ZWE,Yes,
